timestamp,iso,validator1,validator2,validator3,validator4
1785793670,2026-08-03T21:47:50+00:00,542343168,720277504,503595008,491741184
1785793700,2026-08-03T21:48:20+00:00,544124928,720044032,487395328,491372544
1785793730,2026-08-03T21:48:50+00:00,542535680,719753216,504303616,491569152
1785793760,2026-08-03T21:49:20+00:00,547123200,720408576,507199488,493395968
1785793790,2026-08-03T21:49:50+00:00,568086528,720347136,493068288,493887488
1785793820,2026-08-03T21:50:20+00:00,568938496,720478208,507170816,493334528
1785793850,2026-08-03T21:50:50+00:00,569503744,720609280,524382208,511950848
1785793880,2026-08-03T21:51:20+00:00,553312256,720736256,500113408,522498048
1785793910,2026-08-03T21:51:50+00:00,569368576,720867328,514793472,522219520
1785793940,2026-08-03T21:52:20+00:00,527122432,733757440,543498240,522326016
1785793970,2026-08-03T21:52:50+00:00,543830016,734543872,528261120,522477568
1785794000,2026-08-03T21:53:20+00:00,528347136,735387648,542351360,524718080
1785794030,2026-08-03T21:53:50+00:00,544137216,735211520,525447168,518942720
1785794060,2026-08-03T21:54:20+00:00,527777792,740585472,500637696,518017024
1785794090,2026-08-03T21:54:50+00:00,542576640,740978688,515915776,503787520
1785794120,2026-08-03T21:55:20+00:00,529666048,741457920,500502528,504963072
1785794150,2026-08-03T21:55:50+00:00,544821248,728334336,509775872,505618432
1785794180,2026-08-03T21:56:20+00:00,530690048,716623872,515641344,505024512
1785794210,2026-08-03T21:56:50+00:00,545099776,717983744,498749440,505184256
1785794240,2026-08-03T21:57:20+00:00,534302720,718372864,517361664,505954304
1785794270,2026-08-03T21:57:50+00:00,548098048,718344192,517353472,505942016
1785794300,2026-08-03T21:58:20+00:00,533442560,717955072,495050752,505937920
1785794330,2026-08-03T21:58:50+00:00,550547456,718217216,510320640,502145024
1785794360,2026-08-03T21:59:20+00:00,544317440,719396864,511631360,499576832
1785794390,2026-08-03T21:59:50+00:00,551727104,717656064,497410048,514740224
1785794420,2026-08-03T22:00:20+00:00,548716544,719708160,511954944,514609152
1785794450,2026-08-03T22:00:50+00:00,560119808,721346560,511770624,491233280
1785794480,2026-08-03T22:01:20+00:00,545726464,721346560,497029120,505925632
1785794510,2026-08-03T22:01:50+00:00,553029632,720846848,512495616,489443328
1785794540,2026-08-03T22:02:20+00:00,543252480,720609280,500191232,499978240
1785794570,2026-08-03T22:02:50+00:00,552509440,719839232,501796864,505479168
1785794600,2026-08-03T22:03:20+00:00,541573120,717828096,524038144,488837120
1785794630,2026-08-03T22:03:50+00:00,553107456,716554240,499838976,494985216
1785794660,2026-08-03T22:04:20+00:00,542892032,716685312,506630144,503767040
1785794690,2026-08-03T22:04:50+00:00,553115648,716890112,515211264,486862848
1785794720,2026-08-03T22:05:20+00:00,558170112,730578944,515801088,517722112
1785794750,2026-08-03T22:05:50+00:00,565084160,730423296,521555968,517566464
1785794780,2026-08-03T22:06:20+00:00,576258048,743137280,542109696,500903936
